name,pr_auc,recall_at_k,f1,loss,train_time_sec,param_name,param_loss_variant,param_use_custom_recall,param_hidden_units,param_dropout,param_training_mode,param_use_tf_function
loss_weighted_bce,1.0,0.00019110228458885103,0.9999999499980915,2.2649769562121946e-06,29.56836438179016,loss_weighted_bce,weighted_bce,True,"[32, 16]",0.1,fit,True
loss_focal,1.0,0.00019110228458885103,0.9999999499980915,0.00484494911506772,30.28582501411438,loss_focal,focal,True,"[32, 16]",0.1,fit,True
loss_bce,1.0,0.00019110228458885103,0.9999999499980915,2.2649769562121946e-06,23.32706570625305,loss_bce,bce,True,"[32, 16]",0.1,fit,True
loss_bce_ls,1.0,0.00019110228458885103,0.9999999499980915,0.05145838484168053,30.061386585235596,loss_bce_ls,bce_ls,True,"[32, 16]",0.1,fit,True
loss_bce_pos_weight_3,1.0,0.00019110228458885103,0.9999999499980915,2.1457676666614134e-06,54.12566161155701,loss_bce_pos_weight_3,bce_pos_weight_3,True,"[32, 16]",0.1,fit,True
metrics_recall_0_1,1.0,0.00019110228458885103,0.9999999499980915,1.847744101723947e-06,50.46947503089905,metrics_recall_0_1,weighted_bce,True,"[32, 16]",0.1,fit,True
metrics_recall_1_0,1.0,0.00019110228458885103,0.9999999499980915,1.1920930091946502e-06,27.599308967590332,metrics_recall_1_0,weighted_bce,False,"[32, 16]",0.1,fit,True
metrics_recall_2_1,1.0,0.00019110228458885103,0.9999999499980915,2.205372311436804e-06,24.673152208328247,metrics_recall_2_1,weighted_bce,True,"[32, 16]",0.1,fit,True
metrics_recall_3_0,1.0,0.00019110228458885103,0.9999999499980915,2.2649769562121946e-06,23.15757155418396,metrics_recall_3_0,weighted_bce,False,"[32, 16]",0.1,fit,True
metrics_recall_4_1,1.0,0.00019110228458885103,0.9999999499980915,1.549720877846994e-06,25.027498245239258,metrics_recall_4_1,weighted_bce,True,"[32, 16]",0.1,fit,True
arch_0,1.0,0.00019110228458885103,0.9999999499980915,0.0039259823970496655,28.567251205444336,arch_0,weighted_bce,True,[16],0.0,fit,True
arch_1,1.0,0.00019110228458885103,0.9999999499980915,2.5033957626874326e-06,32.53776454925537,arch_1,weighted_bce,True,"[64, 32]",0.1,fit,True
arch_2,1.0,0.00019110228458885103,0.9999999499980915,1.847744101723947e-06,26.865572929382324,arch_2,weighted_bce,True,"[64, 32, 16]",0.2,fit,True
arch_3,1.0,0.00019110228458885103,0.9999999499980915,0.003921624273061752,30.037193775177002,arch_3,weighted_bce,True,[128],0.3,fit,True
arch_4,1.0,0.00019110228458885103,0.9999999499980915,1.1920930376163597e-07,30.808826684951782,arch_4,weighted_bce,True,"[32, 32]",0.4,fit,True
train_0_fit_tf1,1.0,0.00019110228458885103,0.9999999499980915,1.1324883644192596e-06,24.650940656661987,train_0_fit_tf1,weighted_bce,True,"[32, 16]",0.1,fit,True
train_1_fit_tf0,1.0,0.00019110228458885103,0.9999999499980915,1.1324883644192596e-06,33.50393104553223,train_1_fit_tf0,weighted_bce,True,"[32, 16]",0.1,fit,False
train_2_custom_loop_tf1,1.0,0.00019110228458885103,0.9999999499980915,0.003919289447367191,15.14738154411316,train_2_custom_loop_tf1,weighted_bce,True,"[32, 16]",0.1,custom_loop,True
train_4_custom_loop_tf1,1.0,0.00019110228458885103,0.9999999499980915,0.003919289447367191,27.82272458076477,train_4_custom_loop_tf1,weighted_bce,True,"[32, 16]",0.1,custom_loop,True
train_3_custom_loop_tf0,0.0,0.00019110228458885103,0.0,,837.9226553440094,train_3_custom_loop_tf0,weighted_bce,True,"[32, 16]",0.1,custom_loop,False
