grid_id,grid_lat,grid_lon,pred_score,y_true,target_count_t1
-11.97_-77.08,-11.97,-77.08,0.13370661,53.0,297.0
-12.030000000000001_-77.14,-12.030000000000001,-77.14,0.13249265,49.0,291.0
-11.91_-77.0,-11.91,-77.0,0.13252716,48.0,493.0
-11.94_-77.0,-11.94,-77.0,0.12930763,48.0,916.0
-12.030000000000001_-77.05,-12.030000000000001,-77.05,0.13244191,48.0,265.0
-12.05_-77.06,-12.05,-77.06,0.12815827,48.0,809.0
-12.21_-76.93,-12.21,-76.93,0.13353127,48.0,336.0
-11.84_-77.06,-11.84,-77.06,0.13152966,47.0,289.0
-12.040000000000001_-76.97,-12.040000000000001,-76.97,0.12764469,47.0,130.0
-12.19_-76.97,-12.19,-76.97,0.13119641,47.0,204.0
-11.4_-77.15,-11.4,-77.15,0.13043211,46.0,199.0
-11.870000000000001_-77.07000000000001,-11.870000000000001,-77.07000000000001,0.1298111,45.0,300.0
-12.16_-76.91,-12.16,-76.91,0.12882783,45.0,192.0
-11.99_-77.04,-11.99,-77.04,0.1268725,44.0,125.0
-12.040000000000001_-76.88,-12.040000000000001,-76.88,0.13203344,44.0,344.0
-12.16_-77.02,-12.16,-77.02,0.12988906,44.0,264.0
-12.14_-77.0,-12.14,-77.0,0.12622032,42.0,119.0
-12.030000000000001_-77.04,-12.030000000000001,-77.04,0.1263747,41.0,139.0
-12.08_-77.01,-12.08,-77.01,0.12739225,41.0,133.0
-11.83_-77.13,-11.83,-77.13,0.1250047,40.0,110.0
-11.96_-76.8,-11.96,-76.8,0.12527296,40.0,110.0
-12.16_-76.77,-12.16,-76.77,0.12524725,40.0,109.0
-12.05_-77.0,-12.05,-77.0,0.12242755,37.0,72.0
-12.08_-77.05,-12.08,-77.05,0.12110591,37.0,61.0
-12.08_-76.9,-12.08,-76.9,0.12354141,36.0,81.0
-12.24_-76.88,-12.24,-76.88,0.123240076,36.0,82.0
-12.06_-77.06,-12.06,-77.06,0.11448366,31.0,48.0
-12.07_-77.09,-12.07,-77.09,0.12072148,31.0,53.0
-12.120000000000001_-77.01,-12.120000000000001,-77.01,0.119643345,31.0,52.0
-11.99_-76.74,-11.99,-76.74,0.118859485,30.0,46.0
-12.06_-77.12,-12.06,-77.12,0.11948902,30.0,49.0
-12.09_-77.07000000000001,-12.09,-77.07000000000001,0.11859582,30.0,35.0
-12.120000000000001_-76.83,-12.120000000000001,-76.83,0.119853914,29.0,49.0
-12.120000000000001_-77.0,-12.120000000000001,-77.0,0.11982883,29.0,48.0
-11.57_-77.23,-11.57,-77.23,0.119903915,28.0,51.0
-12.07_-77.07000000000001,-12.07,-77.07000000000001,0.11816721,26.0,38.0
-12.14_-77.02,-12.14,-77.02,0.1184434,26.0,33.0
-11.700000000000001_-77.09,-11.700000000000001,-77.09,0.11869923,24.0,45.0
-12.09_-77.0,-12.09,-77.0,0.11833355,24.0,41.0
-12.52_-76.75,-12.52,-76.75,0.118084654,24.0,32.0
-11.82_-76.77,-11.82,-76.77,0.11764413,23.0,34.0
-12.07_-76.99,-12.07,-76.99,0.11730133,22.0,32.0
-12.05_-77.04,-12.05,-77.04,0.12003193,20.0,55.0
-12.1_-77.05,-12.1,-77.05,0.117178865,19.0,28.0
-11.51_-77.03,-11.51,-77.03,0.11621884,18.0,20.0
-12.030000000000001_-77.01,-12.030000000000001,-77.01,0.11590535,18.0,146.0
-12.07_-77.12,-12.07,-77.12,0.11709054,18.0,28.0
-12.040000000000001_-76.96000000000001,-12.040000000000001,-76.96000000000001,0.11654542,15.0,24.0
-12.040000000000001_-77.08,-12.040000000000001,-77.08,0.115965724,15.0,124.0
-12.09_-77.04,-12.09,-77.04,0.11643,15.0,22.0
